protein	Disease	id	nsnp	fdr	Ncase	Ncontrol	Ntotal	bxy	se	pqtl	p	qtl	b_qtl	se_qtl	p_qtl	chr
OPG	Systemic lupus erythematosus	ebi-a-GCST003156	8	0.47506125	5201	9066	14267	0.226183	0.148092	rs2247769	0.126683	rs3103985	-0.139762	0.040935	0.000639602	8
TWEAK	Ulcerative colitis	ebi-a-GCST004133	6	0.479624295302013	12366	33609	45975	0.101643	0.0669145	rs34790908	0.128764	rs115803787	0.2572	0.0507	3.95203e-07	17
IL-15RA	Eczema	ieu-a-996	30	0.487018013245033	10788	30047	40835	0.0477374	0.031734	rs2228059	0.132504	rs11256611	0.114025	0.0248019	4.34e-06	10
MMP-10	Crohn's disease	ebi-a-GCST004132	38	0.487018013245033	12194	28072	40266	0.0490689	0.0325474	rs17860955	0.131653	rs188387868	0.4951	0.1266	9.14408e-05	11
CXCL10	Ulcerative colitis	ebi-a-GCST004133	9	0.49492125	12366	33609	45975	-0.0744643	0.0498895	rs11548618	0.135546	rs6856162	0.1148	0.0357	0.00128801	4
MCP-4	COVID-19 hospitalisation	GCST90134602	11	0.497163921568627	14480	73191	87671	-0.0741058	0.0498411	rs3136676	0.137056	rs75228377	0.65033	0.16656	9.4408e-05	17
TWEAK	Sepsis	ieu-b-69	13	0.499730649350649	10154	454764	464918	0.0830657	0.0560957	rs34790908	0.138664	rs12150519	-0.0727797	0.0233969	0.00032	17
CXCL11	Type 1 diabetes	GCST90014023	11	0.502600838709677	18942	501638	520580	-0.0841774	0.0570915	rs6827617	0.140366	rs28555631	0.338507	0.077582	1.28e-05	4
CD244	Type 1 diabetes	GCST90014023	14	0.506423625	18942	501638	520580	-0.0650074	0.0444449	rs11265493	0.143563	rs749906484	5.525403	1.534705	0.000318	1
CD6	Primary sclerosing cholangitis	ieu-a-1112	21	0.506423625	2871	12019	14890	0.0763658	0.0525276	rs2074227	0.145996	rs10792302	0.120446	0.03	4.88416e-05	11
CD6	Sepsis	ieu-b-69	59	0.506423625	10154	454764	464918	0.0298591	0.0205109	rs2074227	0.145457	rs184758488	0.925195	0.209867	1.79999e-05	11
IL-18R1	Type 1 diabetes	GCST90014023	82	0.506423625	18942	501638	520580	-0.0245614	0.0168824	rs2270297	0.145712	rs757724089	11.23524	2.831842	7.26e-05	2
LAP TGF-beta-1	Primary sclerosing cholangitis	ieu-a-1112	3	0.506423625	2871	12019	14890	0.248134	0.170573	rs1800472	0.145748	rs73045256	0.3379	0.071	7.12968e-07	19
CST5	Inflammatory bowel disease	ebi-a-GCST004131	57	0.511306677018634	25042	34915	59957	-0.0290598	0.020104	rs4815244	0.148325	rs6113849	0.0581	0.0157	0.0002103	20
CXCL11	Sepsis	ieu-b-69	11	0.514305640243902	10154	454764	464918	-0.080216	0.0559855	rs6827617	0.151915	rs34078861	0.0602238	0.0148059	1.40001e-05	4
CXCL1	Type 1 diabetes	GCST90014023	15	0.514305640243902	18942	501638	520580	0.0669819	0.0467559	rs1366949	0.151975	rs557315099	2.492215	0.578558	1.65e-05	4
HGF	Eczema	ieu-a-996	3	0.514305640243902	10788	30047	40835	-0.188655	0.131655	rs5745687	0.151873	rs137878917	0.208367	0.0574719	0.000290998	7
HGF	COVID-19 hospitalisation	GCST90134602	3	0.516805909090909	14480	73191	87671	-0.169561	0.118842	rs5745687	0.153645	rs149555375	-0.45845	0.12511	0.00024786	7
CXCL10	Eczema	ieu-a-996	10	0.522020963855422	10788	30047	40835	0.120346	0.084859	rs11548618	0.156136	rs143642239	0.187672	0.0480334	9.42996e-05	4
CDCP1	Type 1 diabetes	GCST90014023	13	0.528422767857143	18942	501638	520580	-0.0700121	0.0498228	rs2276862	0.159955	rs28607988	0.115326	0.025262	4.99e-06	3
hGDNF	COVID-19 hospitalisation	GCST90134602	19	0.528422767857143	14480	73191	87671	-0.0625414	0.0444381	rs62360376	0.159314	rs35440984	0.7622	0.16589	4.3336e-06	5
hGDNF	Ulcerative colitis	ebi-a-GCST004133	18	0.53169	12366	33609	45975	0.064295	0.0461225	rs62360376	0.163316	rs10044193	0.0997	0.0269	0.0002064	5
MCP-3	Multiple sclerosis	ieu-b-18	3	0.53169	47429	68374	115803	-0.182818	0.131302	rs7213460	0.163818	rs17628745	0.826679	0.270236	0.00221998	17
SLAMF1	Eczema	ieu-a-996	5	0.53169	10788	30047	40835	0.177019	0.126865	rs60094514	0.162914	rs55683149	-0.189236	0.0580437	0.001119	1
MCP-4	Ulcerative colitis	ebi-a-GCST004133	11	0.53560726744186	12366	33609	45975	0.075126	0.0542346	rs3136676	0.16599	rs41338755	-0.1613	0.045	0.000335297	17
IL-18R1	COVID-19 hospitalisation	GCST90134602	78	0.535751445086705	14480	73191	87671	0.0268768	0.019449	rs2270297	0.167	rs114023794	-0.42796	0.11607	0.00022673	2
CDCP1	Ulcerative colitis	ebi-a-GCST004133	13	0.536854051724138	12366	33609	45975	-0.0751393	0.0545417	rs2276862	0.168311	rs146692665	0.4755	0.1007	2.32199e-06	3
CCL25	Primary sclerosing cholangitis	ieu-a-1112	20	0.539577342857143	2871	12019	14890	-0.068664	0.0500552	rs2032887	0.170137	rs7250983	0.223144	0.072	0.00140508	19
IL-12B	Primary sclerosing cholangitis	ieu-a-1112	19	0.547167288135593	2871	12019	14890	0.0851949	0.0627412	rs10076557	0.174502	rs72442746	-0.393393	0.104	7.10461e-05	5
MCP-2	Rheumatoid arthritis	ieu-a-833	27	0.547167288135593	19234	61565	80799	0.0211914	0.015577	rs1133763	0.173693	rs34928624	0.0582689	0.0192621	0.00109999	17
CXCL11	IgA nephropathy	ieu-a-1081	3	0.554915814606742	977	4980	5957	0.593966	0.440947	rs6827617	0.177973	rs4241584	0.324607	0.100209	0.0011982	4
CXCL1	Sepsis	ieu-b-69	15	0.575519497206704	10154	454764	464918	-0.0590099	0.0445811	rs1366949	0.185618	rs1017734	-0.0611533	0.0170206	5.1e-05	4
hGDNF	IgA nephropathy	ieu-a-1081	7	0.586239447513812	977	4980	5957	0.363038	0.277532	rs62360376	0.190841	rs665327	-0.226058	0.0920318	0.0140372	5
MCP-4	Systemic lupus erythematosus	ebi-a-GCST003156	11	0.586239447513812	5201	9066	14267	-0.125945	0.0963561	rs3136676	0.191188	rs79042714	0.19062	0.0485526	8.63495e-05	17
hGDNF	Systemic lupus erythematosus	ebi-a-GCST003156	15	0.593374285714286	5201	9066	14267	-0.11029	0.0850256	rs62360376	0.194584	rs147985830	-0.18633	0.0391203	1.90748e-06	5
CCL25	Systemic lupus erythematosus	ebi-a-GCST003156	41	0.593647096774193	5201	9066	14267	0.0453949	0.0350947	rs2032887	0.19584	rs36145952	0.277632	0.0652305	2.07965e-05	19
CD244	COVID-19 hospitalisation	GCST90134602	11	0.593647096774193	14480	73191	87671	0.056352	0.04377	rs11265493	0.197935	rs509749	0.068453	0.015404	8.841e-06	1
CD5	Gout	ebi-a-GCST001790	5	0.593647096774193	2115	67259	69374	-0.254953	0.197831	rs674379	0.197487	rs17155261	-0.19	0.057	0.0011575	11
CXCL9	Sepsis	ieu-b-69	3	0.593647096774193	10154	454764	464918	0.131109	0.102067	rs4241577	0.198952	rs34078861	0.0602238	0.0148059	1.40001e-05	4
TRAIL	Asthma	ebi-a-GCST005212	5	0.602596443850267	19954	107715	127669	-0.0911248	0.0715858	rs574044675	0.203037	rs9846921	0.0616445	0.0148333	3.23996e-05	3
CXCL6	Systemic lupus erythematosus	ebi-a-GCST003156	13	0.602747712765957	5201	9066	14267	0.0586225	0.0461685	rs16850073	0.204174	rs7670454	0.116534	0.0302883	0.000119336	4
FGF-5	Asthma	ebi-a-GCST005212	8	0.602884005235602	19954	107715	127669	-0.0298304	0.0235841	rs12509595	0.205924	rs329396	-0.0602687	0.0205139	0.00330392	4
LAP TGF-beta-1	Rheumatoid arthritis	ieu-a-833	5	0.602884005235602	19234	61565	80799	-0.128456	0.101801	rs1800472	0.207009	rs2169275	-0.0725707	0.0191075	0.000409996	19
MMP-1	Rheumatoid arthritis	ieu-a-833	39	0.602884005235602	19234	61565	80799	-0.0355166	0.028176	rs471994	0.207479	rs11524453	0.0618754	0.0217239	0.00309999	11
CD244	Primary sclerosing cholangitis	ieu-a-1112	3	0.605257081218274	2871	12019	14890	0.166094	0.133592	rs11265493	0.213759	rs201947727	-0.911077	0.287	0.000300179	1
CD5	Sepsis	ieu-b-69	6	0.605257081218274	10154	454764	464918	-0.0822559	0.066261	rs674379	0.214461	rs184758488	0.925195	0.209867	1.79999e-05	11
MCP-2	Systemic lupus erythematosus	ebi-a-GCST003156	30	0.605257081218274	5201	9066	14267	-0.0432633	0.0345903	rs1133763	0.211032	rs79042714	0.19062	0.0485526	8.63495e-05	17
MCP-4	Inflammatory bowel disease	ebi-a-GCST004131	8	0.605257081218274	25042	34915	59957	-0.0683181	0.0547865	rs3136676	0.212402	rs11870407	-0.101	0.014	4.82503e-13	17
TWEAK	Type 1 diabetes	GCST90014023	9	0.605257081218274	18942	501638	520580	0.0775885	0.0625528	rs34790908	0.214839	rs61759532	0.118379	0.018587	1.91e-10	17
TWEAK	Eczema	ieu-a-996	8	0.605257081218274	10788	30047	40835	-0.0976788	0.0781939	rs34790908	0.211596	rs190741014	2.573	0.668002	0.000117999	17
MMP-1	IgA nephropathy	ieu-a-1081	10	0.610912045454545	977	4980	5957	0.249109	0.202198	rs471994	0.217947	rs7935378	0.234855	0.105021	0.0253338	11
CCL25	Inflammatory bowel disease	ebi-a-GCST004131	52	0.619103880597015	25042	34915	59957	0.0212602	0.0174879	rs2032887	0.224096	rs12151134	0.0503	0.0141	0.000362802	19
CCL25	Sepsis	ieu-b-69	56	0.619103880597015	10154	454764	464918	0.0230363	0.0189538	rs2032887	0.224216	rs386806432	0.111613	0.02317	1.7e-06	19
FGF-21	Systemic lupus erythematosus	ebi-a-GCST003156	3	0.619103880597015	5201	9066	14267	-0.250019	0.205596	rs838131	0.223958	rs73934025	-0.235722	0.0518188	5.39088e-06	19
IL-18	Rheumatoid arthritis	ieu-a-833	3	0.622335443349754	19234	61565	80799	0.121812	0.100964	rs5744249	0.227629	rs1123066	0.0833816	0.016643	8.19993e-07	11
MIP-1 alpha	Gout	ebi-a-GCST001790	17	0.622335443349754	2115	67259	69374	-0.103006	0.0852765	rs8951	0.227083	rs719828	0.24	0.072	0.0011838	17
TNFRSF9	Eczema	ieu-a-996	3	0.628151176470588	10788	30047	40835	-0.132168	0.110317	rs1776354	0.230888	rs11581328	-0.116874	0.0229406	3.56e-07	1
CST5	Ulcerative colitis	ebi-a-GCST004133	57	0.629453926829268	12366	33609	45975	-0.0305025	0.0255477	rs4815244	0.232501	rs147515309	0.6728	0.176	0.000132099	20
CSF-1	Crohn's disease	ebi-a-GCST004132	5	0.632664975728155	12194	28072	40266	0.0948258	0.0798186	rs17610659	0.234827	rs116117951	-0.4338	0.1251	0.000522998	1
CXCL11	Asthma	ebi-a-GCST005212	7	0.632952272727273	19954	107715	127669	0.0702943	0.0593642	rs6827617	0.236366	rs4859943	0.0452847	0.0140914	0.0013106	4
MCP-3	Gout	ebi-a-GCST001790	3	0.632952272727273	2115	67259	69374	0.306906	0.259664	rs7213460	0.237231	rs317364	-0.32	0.092	0.000669222	17
MIP-1 alpha	Multiple sclerosis	ieu-b-18	28	0.632952272727273	47429	68374	115803	-0.0519963	0.044098	rs8951	0.238355	rs4796224	0.085449	0.0163132	1.62301e-07	17
LAP TGF-beta-1	COVID-19 hospitalisation	GCST90134602	5	0.633091142857143	14480	73191	87671	-0.0899007	0.0764386	rs1800472	0.239548	rs112889062	-0.18301	0.046156	7.3382e-05	19
CDCP1	Eczema	ieu-a-996	13	0.633331279620853	10788	30047	40835	-0.0717556	0.0611707	rs2276862	0.24078	rs4311249	-0.0593966	0.0171118	0.000521999	3
MIP-1 alpha	COVID-19 hospitalisation	GCST90134602	30	0.645847216981132	14480	73191	87671	-0.0464671	0.0401132	rs8951	0.246702	rs552671892	0.79693	0.18149	1.1279e-05	17
CD244	IgA nephropathy	ieu-a-1081	3	0.649307879464286	977	4980	5957	0.488254	0.432876	rs11265493	0.259349	rs6696854	-0.271077	0.0934421	0.00371946	1
CD40	Sepsis	ieu-b-69	30	0.649307879464286	10154	454764	464918	-0.0362377	0.032311	rs1883832	0.262063	rs148853232	0.472125	0.119754	2.5e-05	20
CD5	Systemic lupus erythematosus	ebi-a-GCST003156	5	0.649307879464286	5201	9066	14267	0.209506	0.184822	rs674379	0.256979	rs2232143	-0.478036	0.11817	5.2248e-05	11
CDCP1	Primary sclerosing cholangitis	ieu-a-1112	11	0.649307879464286	2871	12019	14890	0.124859	0.111083	rs2276862	0.261003	rs147976827	0.377066	0.104	0.000131677	3
CXCL1	Multiple sclerosis	ieu-b-18	7	0.649307879464286	47429	68374	115803	0.0649638	0.0571117	rs1366949	0.255334	rs9993695	-0.14436	0.0478472	0.002552	4
CXCL6	Sepsis	ieu-b-69	30	0.649307879464286	10154	454764	464918	-0.0315586	0.027435	rs16850073	0.250019	rs1017734	-0.0611533	0.0170206	5.1e-05	4
DNER	Inflammatory bowel disease	ebi-a-GCST004131	13	0.649307879464286	25042	34915	59957	0.0492285	0.0429145	rs62193248	0.251328	rs13397985	0.0741	0.0156	2.066e-06	2
FGF-21	Rheumatoid arthritis	ieu-a-833	3	0.649307879464286	19234	61565	80799	-0.163772	0.145479	rs838131	0.260274	rs11878355	-0.10436	0.0322178	0.000949992	19
FGF-5	Primary sclerosing cholangitis	ieu-a-1112	13	0.649307879464286	2871	12019	14890	0.074132	0.0651772	rs12509595	0.255374	rs6535231	-0.198851	0.074	0.00526393	4
HGF	Sepsis	ieu-b-69	3	0.649307879464286	10154	454764	464918	0.119784	0.105085	rs5745687	0.254335	rs578136262	-0.634508	0.190243	0.000309999	7
IL-18R1	Systemic lupus erythematosus	ebi-a-GCST003156	46	0.649307879464286	5201	9066	14267	0.0375922	0.0334211	rs2270297	0.260673	rs62155068	-0.127833	0.0313908	4.65479e-05	2
MMP-10	COVID-19 hospitalisation	GCST90134602	43	0.649307879464286	14480	73191	87671	-0.03412	0.0303773	rs17860955	0.26135	rs142677811	-0.21709	0.057066	0.00014231	11
CX3CL1	Multiple sclerosis	ieu-b-18	11	0.651363653846154	47429	68374	115803	0.0771363	0.0701809	rs671623	0.271722	rs8062446	0.0848006	0.0172163	8.41008e-07	16
CXCL10	Systemic lupus erythematosus	ebi-a-GCST003156	6	0.651363653846154	5201	9066	14267	-0.12893	0.118017	rs11548618	0.274629	rs72647441	0.173953	0.0496826	0.00046301	4
CXCL10	Primary sclerosing cholangitis	ieu-a-1112	6	0.651363653846154	2871	12019	14890	0.147411	0.134519	rs11548618	0.27315	rs111467309	0.381172	0.12	0.000741071	4
CXCL1	COVID-19 hospitalisation	GCST90134602	13	0.651363653846154	14480	73191	87671	0.053287	0.0485433	rs1366949	0.272326	rs561713373	1.0466	0.29902	0.00046518	4
CXCL1	Primary sclerosing cholangitis	ieu-a-1112	6	0.651363653846154	2871	12019	14890	0.120891	0.110148	rs1366949	0.27241	rs186224052	0.447247	0.131	0.00028841	4
hGDNF	Eczema	ieu-a-996	16	0.651363653846154	10788	30047	40835	0.0632377	0.0578772	rs62360376	0.274561	rs147775106	0.27726	0.0816609	0.000690001	5
MCP-2	IgA nephropathy	ieu-a-1081	6	0.651363653846154	977	4980	5957	0.12527	0.114306	rs1133763	0.273113	rs8067780	-0.419583	0.102691	4.38995e-05	17
PD-L1	Systemic lupus erythematosus	ebi-a-GCST003156	6	0.651363653846154	5201	9066	14267	-0.156538	0.140704	rs822335	0.265906	rs1887428	-0.122218	0.0310533	8.2943e-05	9
SLAMF1	COVID-19 hospitalisation	GCST90134602	6	0.651363653846154	14480	73191	87671	-0.0834255	0.0755741	rs60094514	0.269641	rs509749	0.068453	0.015404	8.841e-06	1
uPA	Eczema	ieu-a-996	5	0.651363653846154	10788	30047	40835	-0.163041	0.147049	rs55744193	0.267537	rs185116629	1.5811	0.50132	0.00161801	10
IL-18R1	Primary sclerosing cholangitis	ieu-a-1112	47	0.656555553191489	2871	12019	14890	-0.0426829	0.0393456	rs2270297	0.278001	rs72833518	0.20945	0.076	0.0043427	2
CST5	IgA nephropathy	ieu-a-1081	8	0.664619555084746	977	4980	5957	-0.160728	0.149589	rs4815244	0.282613	rs1884655	-0.286693	0.102423	0.00512436	20
CXCL11	Ulcerative colitis	ebi-a-GCST004133	10	0.665206139240506	12366	33609	45975	0.0694722	0.0648521	rs6827617	0.284061	rs6856162	0.1148	0.0357	0.00128801	4
hGDNF	Type 1 diabetes	GCST90014023	18	0.6663445625	18942	501638	520580	0.0484579	0.0455567	rs62360376	0.287472	rs567470514	0.207115	0.046177	7.28e-06	5
MCP-4	Asthma	ebi-a-GCST005212	8	0.6663445625	19954	107715	127669	0.0457757	0.0430955	rs3136676	0.288149	rs17782835	0.0880975	0.0302466	0.00358377	17
TRAIL	Gout	ebi-a-GCST001790	5	0.6663445625	2115	67259	69374	-0.202717	0.190186	rs574044675	0.286473	rs11920830	0.39	0.12	0.00162245	3
ADA	Eczema	ieu-a-996	22	0.676067083333333	10788	30047	40835	0.0368752	0.0357135	rs11555566	0.301824	rs6031944	-0.0933913	0.0218539	1.94998e-05	20
hGDNF	Multiple sclerosis	ieu-b-18	14	0.676067083333333	47429	68374	115803	0.0528992	0.0505332	rs62360376	0.295182	rs1561311081	0.0604364	0.0179866	0.000779202	5
HGF	Rheumatoid arthritis	ieu-a-833	3	0.676067083333333	19234	61565	80799	0.127357	0.124519	rs5745687	0.306405	rs4732462	0.0618754	0.0162886	0.000389996	7
IL10RB	Crohn's disease	ebi-a-GCST004132	23	0.676067083333333	12194	28072	40266	0.0383525	0.0374619	rs2266590	0.305943	rs2284553	0.1277	0.0165	1.13999e-14	21
LAP TGF-beta-1	Systemic lupus erythematosus	ebi-a-GCST003156	5	0.676067083333333	5201	9066	14267	-0.125345	0.121562	rs1800472	0.302482	rs147154502	-0.994252	0.215924	4.13171e-06	19
MCP-2	Type 1 diabetes	GCST90014023	55	0.676067083333333	18942	501638	520580	0.01665	0.0160177	rs1133763	0.298585	rs11268345	0.281767	0.056705	6.73e-07	17
MCP-2	Sepsis	ieu-b-69	46	0.676067083333333	10154	454764	464918	-0.0172377	0.0166973	rs1133763	0.301903	rs142042679	0.264742	0.0780907	0.0012	17
MMP-10	Inflammatory bowel disease	ebi-a-GCST004131	38	0.676067083333333	25042	34915	59957	0.0259469	0.0249016	rs17860955	0.297423	rs192070159	0.276	0.0701	8.16394e-05	11
PD-L1	Sepsis	ieu-b-69	6	0.676067083333333	10154	454764	464918	0.0863384	0.0828832	rs822335	0.297557	rs188033311	0.788477	0.186616	3.59998e-05	9
SLAMF1	Type 1 diabetes	GCST90014023	6	0.676067083333333	18942	501638	520580	-0.0738952	0.0713936	rs60094514	0.30065	rs749906484	5.525403	1.534705	0.000318	1
ST1A1	Eczema	ieu-a-996	10	0.676067083333333	10788	30047	40835	-0.0695957	0.0681243	rs149278	0.306971	rs55690101	2.253	0.62063	0.000284997	16
TNFSF14	Primary sclerosing cholangitis	ieu-a-1112	3	0.676067083333333	2871	12019	14890	-0.127575	0.124235	rs344562	0.304472	rs812936	-0.112435	0.042	0.00636664	19
IL-15RA	Rheumatoid arthritis	ieu-a-833	22	0.679955846456693	19234	61565	80799	-0.0252976	0.0249689	rs2228059	0.310981	rs706778	0.0861777	0.0140459	1.5e-10	10
VEGF_A	Multiple sclerosis	ieu-b-18	13	0.679955846456693	47429	68374	115803	-0.0384992	0.0380151	rs6921438	0.311187	rs73426620	-0.279146	0.0684236	4.51004e-05	6
PD-L1	Crohn's disease	ebi-a-GCST004132	6	0.689878058823529	12194	28072	40266	-0.0926729	0.0926079	rs822335	0.316971	rs1887428	-0.166	0.0169	8.53886e-23	9
CXCL5	Sepsis	ieu-b-69	15	0.690695348837209	10154	454764	464918	-0.041173	0.0414458	rs450373	0.320506	rs1017734	-0.0611533	0.0170206	5.1e-05	4
MMP-10	Type 1 diabetes	GCST90014023	43	0.690695348837209	18942	501638	520580	-0.0273239	0.027499	rs17860955	0.320401	rs564828723	5.773075	1.537068	0.000173	11
MMP-1	Eczema	ieu-a-996	46	0.690695348837209	10788	30047	40835	-0.0308164	0.0310574	rs471994	0.32108	rs115143753	0.262886	0.0677192	0.000105	11
CCL4	Asthma	ebi-a-GCST005212	5	0.692196428571429	19954	107715	127669	0.0427571	0.043265	rs8064426	0.323025	rs2291189	0.0677515	0.0248883	0.00648455	17
DNER	COVID-19 hospitalisation	GCST90134602	18	0.692544675572519	14480	73191	87671	0.0528501	0.0538899	rs62193248	0.326739	rs115758678	-0.51106	0.11535	9.3992e-06	2
IL10RB	Sepsis	ieu-b-69	29	0.692544675572519	10154	454764	464918	-0.0301856	0.0307058	rs2266590	0.325579	rs2834273	-0.0948678	0.0236856	3.09999e-06	21
IL-15RA	Sepsis	ieu-b-69	30	0.692544675572519	10154	454764	464918	0.0254505	0.0259616	rs2228059	0.326931	rs1977426	-0.0777197	0.0224647	0.000140001	10
IL-15RA	Asthma	ebi-a-GCST005212	11	0.70013144486692	19954	107715	127669	-0.0266162	0.0274239	rs2228059	0.331774	rs11256772	0.0595103	0.0157026	0.0001508	10
ADA	Sepsis	ieu-b-69	32	0.700916647727273	10154	454764	464918	0.0236982	0.0245001	rs11555566	0.333409	rs184094561	0.418682	0.142358	0.000239999	20
CCL23	Gout	ebi-a-GCST001790	8	0.70903962406015	2115	67259	69374	-0.0738869	0.077229	rs712048	0.338706	rs719828	0.24	0.072	0.0011838	17
CD6	Gout	ebi-a-GCST001790	19	0.70903962406015	2115	67259	69374	-0.0513438	0.053791	rs2074227	0.339828	rs17155261	-0.19	0.057	0.0011575	11
CXCL10	Sepsis	ieu-b-69	11	0.712828382899628	10154	454764	464918	-0.0358286	0.0378654	rs11548618	0.344042	rs34078861	0.0602238	0.0148059	1.40001e-05	4
CXCL5	IgA nephropathy	ieu-a-1081	3	0.712828382899628	977	4980	5957	-0.255005	0.270315	rs450373	0.345497	rs7691380	-0.233037	0.090484	0.0100108	4
MMP-10	Primary sclerosing cholangitis	ieu-a-1112	22	0.712828382899628	2871	12019	14890	-0.0660559	0.0699358	rs17860955	0.344903	rs138362837	0.484276	0.141	0.000246212	11
CCL25	Gout	ebi-a-GCST001790	15	0.713244888888889	2115	67259	69374	0.0467608	0.0497215	rs2032887	0.346984	rs7251963	-0.11	0.032	0.00095067	19
CD5	COVID-19 hospitalisation	GCST90134602	6	0.717894540441177	14480	73191	87671	-0.0717056	0.0770167	rs674379	0.351833	rs71488477	0.31672	0.090052	0.00043625	11
CSF-1	Sepsis	ieu-b-69	6	0.717894540441177	10154	454764	464918	0.065709	0.0704553	rs17610659	0.351009	rs114559588	0.31135	0.0892534	0.000219999	1
CD40	COVID-19 hospitalisation	GCST90134602	28	0.720581032608696	14480	73191	87671	-0.0332081	0.0361537	rs1883832	0.358343	rs200605182	0.39183	0.097481	5.8305e-05	20
HGF	Asthma	ebi-a-GCST005212	3	0.720581032608696	19954	107715	127669	-0.0849941	0.0923978	rs5745687	0.35764	rs975360	-0.0438334	0.0121771	0.000318603	7
MCP-3	Rheumatoid arthritis	ieu-a-833	3	0.720581032608696	19234	61565	80799	0.0966477	0.104692	rs7213460	0.355921	rs34928624	0.0582689	0.0192621	0.00109999	17
MMP-10	Gout	ebi-a-GCST001790	24	0.720581032608696	2115	67259	69374	0.0774044	0.083945	rs17860955	0.356485	rs12285671	1.2	0.33	0.000604436	11
CD5	Rheumatoid arthritis	ieu-a-833	5	0.72070857400722	19234	61565	80799	-0.0730746	0.0797821	rs674379	0.359705	rs968567	-0.105361	0.0197415	7.29995e-07	11
CCL25	Ulcerative colitis	ebi-a-GCST004133	50	0.721738709677419	12366	33609	45975	0.0202936	0.0222493	rs2032887	0.361716	rs12151134	0.065	0.0182	0.0003476	19
IL-12B	IgA nephropathy	ieu-a-1081	10	0.721738709677419	977	4980	5957	0.172303	0.189343	rs10076557	0.36282	rs10515774	-0.491276	0.189646	0.00958429	5
ADA	Gout	ebi-a-GCST001790	9	0.738660982758621	2115	67259	69374	-0.0620346	0.0706547	rs11555566	0.379946	rs6017279	0.17	0.045	0.000198751	20
CD5	Multiple sclerosis	ieu-b-18	4	0.738660982758621	47429	68374	115803	-0.0913308	0.104851	rs674379	0.383726	rs4939490	0.136627	0.0174104	4.24717e-15	11
FGF-5	Crohn's disease	ebi-a-GCST004132	34	0.738660982758621	12194	28072	40266	-0.0258232	0.0297545	rs12509595	0.385462	rs186341397	-0.61	0.1686	0.000297399	4
hGDNF	Inflammatory bowel disease	ebi-a-GCST004131	18	0.738660982758621	25042	34915	59957	0.0315249	0.0360906	rs62360376	0.382394	rs72749205	0.0719	0.0199	0.000301301	5
HGF	Primary sclerosing cholangitis	ieu-a-1112	3	0.738660982758621	2871	12019	14890	0.191817	0.220593	rs5745687	0.384545	rs116997676	0.547543	0.13	7.40099e-06	7
IL-12B	Type 1 diabetes	GCST90014023	30	0.738660982758621	18942	501638	520580	-0.0250417	0.0286239	rs10076557	0.381654	rs547533124	0.904538	0.217482	3.19e-05	5
MMP-1	Sepsis	ieu-b-69	48	0.738660982758621	10154	454764	464918	0.0218395	0.025191	rs471994	0.385967	rs376963184	-0.0655973	0.0203252	0.000470002	11
OPG	Primary sclerosing cholangitis	ieu-a-1112	4	0.738660982758621	2871	12019	14890	-0.13332	0.152475	rs2247769	0.381918	rs202104963	-0.518794	0.152	0.000256242	8
ST1A1	Multiple sclerosis	ieu-b-18	7	0.738660982758621	47429	68374	115803	-0.0544973	0.0626459	rs149278	0.384341	rs4788115	-0.129975	0.0302539	1.738e-05	16
TNFSF14	Eczema	ieu-a-996	8	0.738660982758621	10788	30047	40835	0.0574571	0.0648813	rs344562	0.375847	rs74178487	0.129835	0.0350614	0.000215001	19
TNFSF14	Multiple sclerosis	ieu-b-18	4	0.738660982758621	47429	68374	115803	-0.0569203	0.0638478	rs344562	0.372661	rs1077667	-0.151862	0.021225	8.37336e-13	19
CD6	COVID-19 hospitalisation	GCST90134602	55	0.743319966101695	14480	73191	87671	-0.0191813	0.0224241	rs2074227	0.392337	rs71488477	0.31672	0.090052	0.00043625	11
CSF-1	COVID-19 hospitalisation	GCST90134602	6	0.743319966101695	14480	73191	87671	-0.065998	0.0776075	rs17610659	0.395098	rs7538453	0.092761	0.023748	9.3838e-05	1
CXCL9	COVID-19 hospitalisation	GCST90134602	3	0.743319966101695	14480	73191	87671	0.104104	0.121767	rs4241577	0.39258	rs543111380	0.91053	0.23615	0.00011536	4
MMP-10	Asthma	ebi-a-GCST005212	20	0.743319966101695	19954	107715	127669	0.0277668	0.0325478	rs17860955	0.393599	rs12418360	-0.0986864	0.0286404	0.0005696	11
OPG	Gout	ebi-a-GCST001790	4	0.743319966101695	2115	67259	69374	0.144656	0.169929	rs2247769	0.394618	rs1564861	0.098	0.033	0.00345311	8
CDCP1	Asthma	ebi-a-GCST005212	4	0.743464545454545	19954	107715	127669	0.0468106	0.0552587	rs2276862	0.39693	rs2195203	0.0426781	0.0120357	0.000391201	3
MCP-3	Ulcerative colitis	ebi-a-GCST004133	3	0.743464545454545	12366	33609	45975	0.106355	0.125796	rs7213460	0.397854	rs9907763	-0.0693	0.0183	0.000151901	17
CCL23	Multiple sclerosis	ieu-b-18	16	0.74689635451505	47429	68374	115803	-0.0278227	0.0331738	rs712048	0.40164	rs4796224	0.085449	0.0163132	1.62301e-07	17
OPG	Rheumatoid arthritis	ieu-a-833	7	0.74689635451505	19234	61565	80799	0.0655134	0.0782366	rs2247769	0.402382	rs1160273	-0.0512933	0.0161171	0.000239999	8
